Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Francia Desiree Rivero Hurtado,F,SBD,Raw,49.5,45-49,50-59,Masters 2,79.1,84,120.0,-127.5,130.5,,130.5,62.5,67.5,-70.5,,67.5,132.5,-142.5,-150.0,,132.5,330.5,1,313.18,304.34,267.07,63.99,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Sorena del Valle Gonzalez Gil,F,SBD,Raw,39.5,35-39,40-49,Open,95.5,84+,155.0,-162.5,162.5,,162.5,80.0,87.5,-92.5,,87.5,165.0,175.0,-185.0,,175.0,425.0,2,369.42,359.07,310.17,76.8,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Benjamin Contreras Quezada,M,SBD,Raw,14.5,13-15,14-18,Sub-Juniors,56.3,59,117.5,122.5,125.0,,125.0,70.0,75.0,78.5,,78.5,140.0,150.0,160.0,,160.0,363.5,3,323.83,329.19,322.65,61.68,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Diego Durán Araya,M,SBD,Raw,28.0,24-34,24-39,Open,65.55,66,-205.0,-205.0,-205.0,,-205.0,115.0,125.0,-130.0,,125.0,240.0,255.0,-260.0,,255.0,,DQ,,,,,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Alvaro Alonso Arce Olea,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,65.75,66,-175.0,177.5,-190.0,,177.5,82.5,87.5,92.5,,92.5,205.0,220.0,-232.5,,220.0,490.0,3,385.01,385.95,375.1,76.54,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Luis Arriagada Rivera,M,SBD,Raw,22.5,20-23,19-23,Juniors,65.75,66,192.5,197.5,-202.5,,197.5,117.5,120.0,122.5,,122.5,220.0,225.0,227.5,,227.5,547.5,1,430.19,431.24,419.12,85.52,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Francisco Carvajal Lezcano,M,SBD,Raw,21.5,20-23,19-23,Juniors,65.0,66,195.0,205.0,210.0,,210.0,105.0,110.0,112.5,,112.5,-212.5,212.5,-227.5,,212.5,535.0,2,424.0,425.43,413.7,84.07,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Pablo Anderson Perez,M,SBD,Raw,24.5,24-34,24-39,Open,73.85,74,-251.0,251.0,260.0,,260.0,165.0,170.0,-175.5,,170.0,290.0,-300.0,300.5,,300.5,730.5,1,529.33,526.22,508.79,107.36,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Felipe Rieutord Lira,M,SBD,Raw,22.0,20-23,19-23,Juniors,73.8,74,215.0,227.5,232.5,,232.5,135.0,140.0,-145.0,,140.0,270.0,-290.0,311.0,,311.0,683.5,1,495.49,492.6,476.3,100.49,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Jose Figueroa Contreras,M,SBD,Raw,28.5,24-34,24-39,Open,82.35,83,250.0,260.0,270.0,,270.0,-167.5,,-175.0,,-167.5,-265.0,,,,-265.0,,DQ,,,,,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Diego Javier Azagra Castro,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,81.93,83,200.0,207.5,213.0,,213.0,133.5,140.0,-143.0,,140.0,207.5,220.0,227.5,,227.5,580.5,1,394.78,390.51,375.86,80.89,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Juan Carlos Contreras Vega,M,SBD,Raw,51.5,50-54,50-59,Masters 2,82.3,83,150.0,160.0,170.0,,170.0,85.0,90.0,95.0,,95.0,185.0,197.5,205.0,,205.0,470.0,2,318.81,315.32,303.43,65.34,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Bernardo Ibanez,M,SBD,Raw,25.5,24-34,24-39,Open,91.05,93,260.0,270.0,-275.0,,270.0,170.0,180.0,-185.0,,180.0,285.0,-300.0,-300.0,,285.0,735.0,1,472.51,466.49,446.87,97.16,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
German Quintanilla,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,92.99,93,205.0,220.0,230.0,,230.0,135.0,142.5,145.0,,145.0,240.0,255.0,270.0,,270.0,645.0,1,410.4,405.2,387.82,84.38,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Jorley Hernandez,M,SBD,Raw,22.5,20-23,19-23,Juniors,91.15,93,205.0,217.5,-225.0,,217.5,150.0,157.5,-165.0,,157.5,250.0,260.0,-270.0,,260.0,635.0,3,408.0,402.81,385.84,83.89,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Gustavo Enrique Tapia,M,SBD,Raw,40.5,40-44,40-49,Masters 1,91.4,93,180.0,190.0,202.5,,202.5,120.0,127.5,132.5,,132.5,220.0,232.5,245.0,,245.0,580.0,2,372.16,367.42,351.9,76.52,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Felipe Romero Diaz,M,SBD,Raw,35.0,35-39,24-39,Open,100.1,105,-280.0,280.0,-300.0,,280.0,170.0,177.5,-182.5,,177.5,270.0,-280.0,-282.5,,270.0,727.5,2,447.59,442.57,422.7,91.86,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Nicolas Reyes Escalona,M,SBD,Raw,35.5,35-39,24-39,Open,104.65,105,257.5,-265.0,-265.0,,257.5,160.0,170.0,177.5,,177.5,-265.0,270.0,-295.0,,270.0,705.0,5,425.76,421.77,402.74,87.18,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Nicolas Carrasco,M,SBD,Raw,22.5,20-23,19-23,Juniors,104.9,105,255.0,-265.0,267.5,,267.5,184.0,190.0,200.0,,200.0,257.5,267.5,278.0,,278.0,745.5,1,449.78,445.63,425.53,92.08,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Andrés Landon Osorio,M,SBD,Raw,20.5,20-23,19-23,Juniors,103.45,105,242.5,260.0,-270.0,,260.0,152.5,162.5,165.0,,165.0,252.5,-270.0,-280.0,,252.5,677.5,3,411.08,407.0,388.63,84.23,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Sebastián Manríquez Lara,M,SBD,Raw,26.5,24-34,24-39,Open,109.85,120,-240.0,250.0,260.0,,260.0,142.5,152.5,160.0,,160.0,270.0,290.0,-302.5,,290.0,710.0,3,420.73,418.01,399.49,85.85,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Sergio Aguilera Aranguiz,M,SBD,Raw,18.5,18-19,19-23,Juniors,114.5,120,220.0,235.0,250.0,,250.0,-120.0,120.0,-125.0,,120.0,240.0,255.0,-262.5,,255.0,625.0,3,364.78,363.58,347.97,74.17,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Angela Scarleth Vega Plaza,F,SBD,Raw,20.0,20-23,19-23,Juniors,64.7,69,-120.0,120.0,130.0,,130.0,70.0,75.0,-77.5,,75.0,160.0,-165.0,-165.0,,160.0,365.0,1,386.31,384.24,339.17,78.53,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Francia Rivero,F,SBD,Raw,48.0,45-49,40-49,Masters 1,73.9,76,100.0,107.5,-115.0,,107.5,50.0,55.0,60.0,,60.0,115.0,-127.5,132.5,,132.5,300.0,1,294.5,287.87,253.36,59.95,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Paula Castro Muñoz,F,SBD,Raw,28.0,24-34,24-39,Open,80.8,84,127.5,135.0,142.5,,142.5,-77.5,80.0,85.0,,85.0,155.0,165.0,-175.0,,165.0,392.5,3,368.01,357.18,313.06,75.3,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Pablo Perez,M,SBD,Raw,22.5,20-23,19-23,Juniors,73.0,74,-230.0,232.5,240.0,,240.0,155.0,160.0,-162.5,,160.0,240.0,260.0,265.0,,265.0,665.0,1,485.53,483.03,467.26,98.32,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Miguel Matías Guzman Droguett,M,SBD,Raw,24.5,24-34,24-39,Open,81.9,83,225.0,245.0,250.0,,250.0,152.5,160.0,165.0,,165.0,250.0,262.5,275.0,,275.0,690.0,1,469.35,464.27,446.87,96.16,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Felipe Gomez Rivero,M,SBD,Raw,29.0,24-34,24-39,Open,81.9,83,195.0,207.5,212.5,,212.5,145.0,150.0,155.0,,155.0,220.0,-232.5,232.5,,232.5,600.0,4,408.13,403.72,388.58,83.62,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Cristopher Vega Belmar,M,SBD,Raw,35.0,35-39,24-39,Open,104.0,105,-260.0,260.0,-277.5,,260.0,170.0,175.0,-180.0,,175.0,255.0,-270.0,-277.5,,255.0,690.0,4,417.76,413.72,395.04,85.57,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Alvaro Andres Quevedo,M,SBD,Single-ply,32.5,24-34,24-39,Open,82.0,83,265.0,-275.0,285.0,,285.0,160.0,170.0,-175.0,,170.0,230.0,-240.0,240.0,,240.0,695.0,2,472.42,467.29,449.75,80.83,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Felipe Pizarro,M,SBD,Single-ply,30.5,24-34,24-39,Open,97.2,105,225.0,240.0,255.0,,255.0,145.0,160.0,172.5,,172.5,230.0,250.0,-265.0,,250.0,677.5,2,422.28,417.2,398.71,71.84,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Felipe Pizarro,M,B,Single-ply,30.5,24-34,24-39,Open,97.2,105,,,,,,145.0,160.0,172.5,,172.5,,,,,,172.5,1,107.52,106.22,101.52,55.67,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Felipe Gomez Rivero,M,B,Raw,29.0,24-34,24-39,Open,81.9,83,,,,,,145.0,150.0,155.0,,155.0,,,,,,155.0,1,105.43,104.29,100.38,78.39,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Cristopher Vega Belmar,M,B,Raw,35.0,35-39,24-39,Open,104.0,105,,,,,,170.0,175.0,-180.0,,175.0,,,,,,175.0,1,105.95,104.93,100.19,78.71,Yes,Chile,,FESUPO,IPF,2021-12-08,Ecuador,,,XXXV Campeonato Sudamericano,Yes
Digna Tapia,F,SBD,Raw,38.5,35-39,24-39,Open,75.0,84,95.0,-105.0,-105.0,,95.0,-35.0,35.0,-40.0,,35.0,100.0,115.0,-125.0,,115.0,245.0,3,238.62,232.91,204.88,48.61,Yes,Chile,,FESUPO,IPF,2019-09-17,Uruguay,,Piriapolis,South American Powerlifting Championship,Yes
Exal García Carrillo,M,B,Raw,29.0,24-34,24-39,Guest,76.1,83,,,,,,130.0,137.5,142.5,,142.5,,,,,,142.5,G,101.29,100.53,97.07,74.88,Yes,Chile,,FESUPO,IPF,2013-11-22,Uruguay,,Piriapolis,Campeonato Sudamericano de Bench Press Raw,Yes
Felipe Pizarro,M,B,Single-ply,32.5,24-34,24-39,Open,96.8,105,,,,,,180.0,190.0,200.0,,200.0,,,,,,200.0,1,124.89,123.38,117.92,64.68,Yes,Chile,,FESUPO,IPF,2023-09-09,Peru,,Lima,South American Bench Press Championships Equipped,Yes
Víctor Manuel Raimil Carabantes,M,B,Raw,25.0,24-34,24-39,Open,81.1,83,,,,,,115.0,120.0,-127.5,,120.0,,,,,,120.0,2,82.09,81.23,78.22,61.0,Yes,Chile,,FESUPO,IPF,2016-12-08,Peru,,Lima,Campeonato Sudamericano de Bench Press Classic,Yes
Exal García Carrillo,M,B,Raw,30.0,24-34,24-39,Open,72.8,74,,,,,,130.0,137.5,140.0,,140.0,,,,,,140.0,2,102.4,101.89,98.58,75.31,Yes,Chile,,FESUPO,IPF,2014-12-11,Argentina,,Lujan,Campeonato Sudamericano de Bench Press Classic,Yes
Francisco Yuseff,M,B,Raw,23.5,24-34,24-39,Open,81.4,83,,,,,,150.0,-160.0,162.5,,162.5,,,,,,162.5,1,110.92,109.75,105.66,82.44,Yes,Chile,,FESUPO,IPF,2014-12-11,Argentina,,Lujan,Campeonato Sudamericano de Bench Press Classic,Yes
Nicholas Ignacio Pezo Cruz,M,B,Raw,23.0,20-23,19-23,Juniors,88.35,93,,,,,,150.0,165.0,170.0,,170.0,,,,,,170.0,1,110.96,109.57,105.1,82.73,Yes,Chile,,FESUPO,IPF,2014-12-11,Argentina,,Lujan,Campeonato Sudamericano de Bench Press Classic,Yes
Víctor Raimil,M,SBD,Single-ply,26.5,24-34,24-39,Open,82.3,83,220.0,235.0,250.0,,250.0,130.0,145.0,150.0,,150.0,200.0,225.0,-240.0,,225.0,625.0,2,423.95,419.3,403.5,72.53,Yes,Chile,,FESUPO,IPF,2018-07-06,Ecuador,,Guayaquil,Campeonato Sudamericano de Powerlifting y Bench Press,Yes
Víctor Raimil,M,B,Single-ply,26.5,24-34,24-39,Open,82.3,83,,,,,,130.0,145.0,150.0,,150.0,,,,,,150.0,1,101.75,100.63,96.84,53.72,Yes,Chile,,FESUPO,IPF,2018-07-06,Ecuador,,Guayaquil,Campeonato Sudamericano de Powerlifting y Bench Press,Yes
Jacqueline Andrea Cifuentes,F,SBD,Raw,27.0,24-34,24-39,Open,46.5,47,50.0,60.0,67.5,,67.5,25.0,32.5,37.5,,37.5,87.5,97.5,107.5,,107.5,212.5,4,280.71,287.99,256.94,59.54,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Leticia Oviedo Castro,F,SBD,Raw,18.0,18-19,14-18,Sub-Juniors,60.5,63,110.0,-115.0,125.0,,125.0,70.0,75.0,80.0,,80.0,130.0,140.0,152.5,,152.5,357.5,1,394.24,396.02,349.87,80.35,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Guillermo Arturo Briones Basoalto,M,SBD,Raw,25.0,24-34,24-39,Open,63.7,66,165.0,175.0,182.5,,182.5,95.0,100.0,105.0,,105.0,215.0,225.0,235.0,,235.0,522.5,1,420.51,422.66,411.41,83.0,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Felipe Gomez,M,SBD,Raw,25.0,24-34,24-39,Open,65.95,66,140.0,152.5,-157.5,,152.5,117.5,-125.0,-125.0,,117.5,170.0,-180.0,-180.0,,170.0,440.0,5,344.95,345.7,335.93,68.62,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Nelson San Martín,M,SBD,Raw,25.0,24-34,24-39,Open,73.6,74,190.0,205.0,210.0,,210.0,120.0,130.0,137.5,,137.5,-220.0,220.0,230.0,,230.0,577.5,4,419.39,417.01,403.26,85.02,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Gabriel Vergara Gutiérrez,M,SBD,Raw,23.0,20-23,19-23,Juniors,73.9,74,210.0,-221.0,-221.0,,210.0,110.0,120.0,-127.5,,120.0,210.0,-220.0,,,210.0,540.0,2,391.12,388.8,375.91,79.33,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Hugo Ignacio Vega Jil,M,SBD,Raw,24.0,24-34,24-39,Open,81.15,83,190.0,210.0,-217.5,,210.0,-120.0,120.0,125.0,,125.0,-240.0,255.0,-260.0,,255.0,590.0,5,403.46,399.23,384.42,82.61,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Andres Rodriguez,M,SBD,Raw,19.5,20-23,19-23,Juniors,82.4,83,180.0,190.0,197.5,,197.5,110.0,-117.5,120.0,,120.0,210.0,225.0,-230.0,,225.0,542.5,3,367.74,363.69,349.96,75.37,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Cristopher Vega Belmar,M,SBD,Raw,31.0,24-34,24-39,Open,92.5,93,220.0,235.0,-242.5,,235.0,160.0,165.0,167.5,,167.5,250.0,270.0,-275.0,,270.0,672.5,4,428.99,423.55,405.46,88.21,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Jhonny Joel Martínez Rosas,M,SBD,Raw,38.0,35-39,24-39,Open,87.8,93,-140.0,150.0,170.0,,170.0,90.0,100.0,105.0,,105.0,170.0,180.0,-185.0,,180.0,455.0,8,297.96,294.24,282.31,61.23,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Antonio Pineda,M,SBD,Raw,27.0,24-34,24-39,Open,99.2,105,-190.0,200.0,207.5,,207.5,135.0,140.0,145.0,,145.0,225.0,237.5,-247.5,,237.5,590.0,4,364.43,360.23,344.11,74.82,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Manuel Alejandro Fuentes Sepúlveda,M,SBD,Raw,36.0,35-39,24-39,Open,114.55,120,210.0,220.0,230.0,,230.0,190.0,-200.0,-200.0,,190.0,200.0,-220.0,-220.0,,200.0,620.0,4,361.8,360.63,345.15,73.57,Yes,Chile,,FESUPO,IPF,2017-12-07,Argentina,,Buenos Aires,Sudamericano de Powerlifting Classic,Yes
Alvaro Quevedo,M,SBD,Single-ply,35.0,35-39,24-39,Open,81.7,83,255.0,-265.0,-275.0,,255.0,160.0,-167.5,-167.5,,160.0,220.0,230.0,-235.0,,230.0,645.0,2,439.35,434.64,418.39,75.18,Yes,Chile,,FESUPO,IPF,2023-09-09,Peru,,Lima,South American Powerlifting Equipped Championships,Yes
Felipe Pizarro,M,SBD,Single-ply,32.5,24-34,24-39,Open,96.8,105,270.0,280.0,292.5,,292.5,180.0,190.0,200.0,,200.0,255.0,270.0,280.0,,280.0,772.5,1,482.39,476.54,455.48,82.08,Yes,Chile,,FESUPO,IPF,2023-09-09,Peru,,Lima,South American Powerlifting Equipped Championships,Yes
Exal García Carrillo,M,SBD,Raw,29.0,24-34,24-39,Guest,76.1,83,160.0,170.0,175.0,,175.0,130.0,137.5,142.5,,142.5,170.0,185.0,-195.0,,185.0,502.5,G,357.2,354.49,342.31,72.71,Yes,Chile,,FESUPO,IPF,2013-11-22,Uruguay,,Piriapolis,Campeonato Sudamericano de Powerlifting Raw,Yes
Víctor Raimil,M,B,Single-ply,25.5,24-34,24-39,Open,82.2,83,,,,,,130.0,140.0,147.5,,147.5,,,,,,147.5,1,100.12,99.03,95.3,52.87,Yes,Chile,,FESUPO,IPF,2017-12-09,Argentina,,Buenos Aires,Sudamericano de Bench Press Equipado,Yes
Nehemías Rivera,M,B,Single-ply,31.5,24-34,24-39,Open,117.6,120,,,,,,190.0,200.0,-205.0,,200.0,,,,,,200.0,1,115.65,115.54,110.68,59.26,Yes,Chile,,FESUPO,IPF,2017-12-09,Argentina,,Buenos Aires,Sudamericano de Bench Press Equipado,Yes
Valeria Quiroz Valenzuela,F,SBD,Raw,29.0,24-34,24-39,Lightweight,52.0,,127.5,135.0,-140.0,,135.0,55.0,60.0,65.0,,65.0,122.5,135.0,145.0,,145.0,345.0,4,420.52,430.09,381.24,87.12,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Javiera Contador,F,SBD,Raw,30.5,24-34,24-39,Mediumweight,57.4,,140.0,145.0,-150.0,,145.0,82.5,85.0,87.5,,87.5,160.0,172.5,175.0,,175.0,407.5,3,464.75,470.28,415.79,95.09,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Antonia Madrid Toro,F,SBD,Raw,23.0,20-23,19-23,Heavyweight,69.25,,145.0,152.5,160.0,,160.0,82.5,87.5,-92.5,,87.5,165.0,175.0,185.0,,185.0,432.5,2,440.03,433.5,382.21,89.42,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Paula Castro Muñoz,F,SBD,Raw,31.0,24-34,24-39,Super Heavyweight,82.1,,172.5,-180.0,-180.0,,172.5,90.0,95.0,100.0,,100.0,180.0,190.0,195.0,,195.0,467.5,1,434.92,421.81,369.34,89.1,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Jose Merino Herrera,M,SBD,Raw,28.5,24-34,24-39,Lightweight,65.7,,215.0,225.0,230.0,,230.0,130.0,137.5,-142.5,,137.5,230.0,245.0,-250.0,,245.0,612.5,3,481.54,482.74,469.19,95.71,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Pablo Anderson Perez,M,SBD,Raw,25.5,24-34,24-39,Mediumweight,81.65,,245.0,260.0,270.0,,270.0,177.5,185.0,190.0,,190.0,300.0,310.0,320.0,,320.0,780.0,1,531.5,525.81,506.17,108.87,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Bernardo Ibañez Pawahton,M,SBD,Raw,27.0,24-34,24-39,Heavyweight,102.75,,285.0,-300.0,302.5,,302.5,175.0,185.0,190.0,,190.0,265.0,285.0,-302.5,,285.0,777.5,3,473.08,468.25,447.11,96.97,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Felipe Romero Diaz,M,SBD,Raw,37.0,35-39,24-39,Super Heavyweight,105.6,,-275.0,275.0,290.0,,290.0,165.0,175.0,180.0,,180.0,255.0,270.0,285.0,,285.0,755.0,1,454.3,450.26,429.98,92.97,Yes,Chile,,FESUPO,IPF,2024-12-02,Peru,,Ayacucho,Bolivarian Games,Yes
Josefa Ignacia Soto Arcos,F,B,Raw,18.5,18-19,19-23,Juniors,56.9,57,,,,,,75.0,-80.0,-80.0,,75.0,,,,,,75.0,1,86.03,87.15,77.06,66.78,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Bench Press Championships Classic,Yes
Cynthia Noemi Quiroz Cisterna,F,B,Raw,31.0,24-34,24-39,Open,67.15,69,,,,,,90.0,-95.0,-95.0,,90.0,,,,,,90.0,1,93.2,92.2,81.34,72.66,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Bench Press Championships Classic,Yes
Tamara Andreani Fuentes,F,B,Raw,32.5,24-34,24-39,Open,74.6,76,,,,,,75.0,80.0,-82.5,,80.0,,,,,,80.0,2,78.14,76.31,67.14,61.84,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Bench Press Championships Classic,Yes
Jose Matias Figueroa Contreras,M,B,Raw,28.5,24-34,24-39,Open,82.35,83,,,,,,-167.5,,-175.0,,,,,,,,,DQ,,,,,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Bench Press Championships Classic,Yes
Felipe Romero Diaz,M,B,Raw,35.0,35-39,24-39,Open,100.1,105,,,,,,170.0,177.5,-182.5,,177.5,,,,,,177.5,1,109.21,107.98,103.13,81.28,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Bench Press Championships Classic,Yes
Nicolas Patricio Reyes Escalona,M,B,Raw,35.5,35-39,24-39,Open,104.65,105,,,,,,160.0,170.0,177.5,,177.5,,,,,,177.5,2,107.19,106.19,101.4,79.6,Yes,Chile,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Bench Press Championships Classic,Yes
Pablo Anderson Perez,M,SBD,Raw,24.0,24-34,24-39,Open,73.0,74,230.0,240.0,250.0,,250.0,160.0,-162.5,-162.5,,160.0,270.0,285.0,-295.0,,285.0,695.0,1,507.44,504.82,488.34,102.76,Yes,Chile,,FESUPO,IPF,2023-04-14,Brazil,,Sao Paulo,Arnold Classic Brazil,Yes
Marco Chepillo,M,SBD,Raw,33.0,24-34,24-39,Open,102.5,105,-270.0,270.0,-285.0,,270.0,120.0,127.5,132.5,,132.5,235.0,242.5,250.0,,250.0,652.5,3,397.43,393.33,375.58,81.47,Yes,Chile,,FESUPO,IPF,2023-04-14,Brazil,,Sao Paulo,Arnold Classic Brazil,Yes
Cynthia Noemi Quiroz Cisterna,F,SBD,Raw,30.0,24-34,24-39,Open,62.0,63,-127.5,127.5,-135.0,,127.5,80.0,85.0,-87.5,,85.0,140.0,147.5,152.5,,152.5,365.0,1,396.43,396.79,350.44,80.69,Yes,Chile,,FESUPO,IPF,2023-04-14,Brazil,,Sao Paulo,Arnold Classic Brazil,Yes
Valentina Marin Puelles,F,SBD,Raw,29.0,24-34,24-39,Open,46.15,47,115.0,-117.5,-117.5,,115.0,57.5,60.0,-62.5,,60.0,-145.0,145.0,-147.5,,145.0,320.0,2,425.11,436.02,389.26,90.35,Yes,Chile,,FESUPO,IPF,2022-09-06,Brazil,,Caçador,IX Campeonato Sudamericano,Yes
Antonella Perez,F,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,45.55,47,92.5,97.5,103.0,,103.0,47.5,50.0,-52.5,,50.0,110.0,120.5,-130.0,,120.5,273.5,1,366.92,376.11,336.16,78.26,Yes,Chile,,FESUPO,IPF,2022-09-06,Brazil,,Caçador,IX Campeonato Sudamericano,Yes
Javiera Contador,F,SBD,Raw,29.5,24-34,24-39,Open,56.55,57,127.5,135.0,137.5,,137.5,77.5,82.5,85.0,,85.0,150.0,162.5,-180.0,,162.5,385.0,2,443.39,449.54,397.55,90.85,Yes,Chile,,FESUPO,IPF,2022-09-06,Brazil,,Caçador,IX Campeonato Sudamericano,Yes
